aa_ocompra;n_ocompra;aa_devengado;t_devengado;n_devengado;c_numcred;c_juris;c_sjuris;c_entidad;c_programa;c_inciso;c_pprincipal;c_pparcial;c_psparcial;c_ubica_geo;i_devengado;e_devengado
2021;65639;2022;DRP;5912;55143;70;0;0;3;3;3;5;0;9;3234,42;A
2021;65639;2022;DRP;6647;55145;70;0;0;2;3;3;5;0;1;37232,92;A
2021;65639;2022;DRP;4557;55145;70;0;0;2;3;3;5;0;1;28034,17;A
2021;65638;2022;DRP;11734;61223;70;0;0;59;3;3;5;0;2;6260579,55;A
2021;65638;2022;DRP;12550;61224;70;0;0;57;3;3;5;0;2;34780735,58;A
2021;65638;2022;DRP;9719;61224;70;0;0;57;3;3;5;0;2;5967116,11;A
2021;65644;2022;DRP;8751;61225;70;0;0;57;3;3;5;0;3;690924,09;A
2021;37210;2022;DRP;3357;54882;55;0;0;3;3;3;5;0;1;1398587,05;A
2021;65639;2022;DRP;7189;58101;70;0;0;59;3;3;5;0;9;6003790,28;A
2021;65639;2022;DRP;6647;58101;70;0;0;59;3;3;5;0;9;270253,38;A
2021;65639;2022;DRP;6647;58102;70;0;0;59;3;3;5;0;10;11883,96;A
2021;65643;2022;DRP;10979;58103;70;0;0;59;3;3;5;0;11;143618,73;A
2021;65642;2022;DRP;8541;58103;70;0;0;59;3;3;5;0;11;2854811,47;A
2021;65643;2023;DRP;10821;2241;70;0;0;1;3;3;5;0;1;33671,29;A
2021;65644;2023;DRP;10140;2241;70;0;0;1;3;3;5;0;1;7489117,06;A
2021;65644;2023;DRP;8673;2241;70;0;0;1;3;3;5;0;1;10824300,73;A
2021;65644;2023;DRP;4045;2241;70;0;0;1;3;3;5;0;1;1195627,42;A
2021;65644;2023;DRP;3764;2241;70;0;0;1;3;3;5;0;1;1295769,44;A
2021;65644;2023;DRP;137;2241;70;0;0;1;3;3;5;0;1;3197224,1;A
2021;65643;2023;DRP;14589;2242;70;0;0;1;3;3;5;0;15;155419,96;A
2021;65643;2023;DRP;4862;2242;70;0;0;1;3;3;5;0;15;58463,19;A
2021;65644;2022;DRP;13705;54925;70;0;0;1;3;3;5;0;1;279692,25;X
2021;65644;2022;DRP;12549;54925;70;0;0;1;3;3;5;0;1;963305,84;A
2021;65644;2022;DRP;11975;54925;70;0;0;1;3;3;5;0;1;8462,23;A
2021;65639;2022;DRP;5912;54925;70;0;0;1;3;3;5;0;1;304889,49;A
2021;65638;2022;DRP;6854;54926;70;0;0;1;3;3;5;0;2;27209,81;A
2021;65640;2022;DRP;13679;54927;70;0;0;1;3;3;5;0;6;191298,11;A
2021;65642;2022;DRP;12554;54929;70;0;0;1;3;3;5;0;13;1799109,8;A
2021;65642;2022;DRP;11004;54929;70;0;0;1;3;3;5;0;13;591692,36;A
2021;65638;2022;DRP;7489;54930;70;0;0;1;3;3;5;0;14;43277,14;A
2021;65638;2022;DRP;6153;54930;70;0;0;1;3;3;5;0;14;231146,69;A
2020;37067;2022;DRP;5223;33118;20;23;0;70;3;3;6;0;14;673030,46;A
2022;4;2022;DRP;9080;33602;20;23;0;71;3;3;5;0;14;7406250,41;A
2019;52184;2022;DRP;6798;23880;55;0;0;57;3;3;5;0;1;5881078,12;X
2019;52131;2022;DRP;6607;23880;55;0;0;57;3;3;5;0;1;3875447,25;A
2019;52253;2022;DRP;7553;23880;55;0;0;57;3;3;5;0;1;5582563,28;A
2019;52131;2022;DRP;6791;23880;55;0;0;57;3;3;5;0;1;3875447,25;A
2019;52131;2022;DRP;1665;23880;55;0;0;57;3;3;5;0;1;197153,18;A
2019;52131;2022;DRP;1673;23880;55;0;0;57;3;3;5;0;1;1005729,96;A
2019;52131;2022;DRP;1668;23880;55;0;0;57;3;3;5;0;1;358821,39;A
2021;65639;2022;DRP;12548;44625;70;0;0;87;3;3;5;0;8;4575694,07;A
2021;65639;2022;DRP;8571;44625;70;0;0;87;3;3;5;0;8;2718193,56;A
2021;65639;2023;DRP;4309;65120;70;0;0;19;3;3;5;0;8;516557,19;X
2021;65639;2022;DRP;13704;65120;70;0;0;19;3;3;5;0;8;2024837,47;A
2021;65645;2022;DRP;11083;59453;70;0;0;5;3;3;5;0;1;58689,85;A
2021;65644;2022;DRP;9497;59453;70;0;0;5;3;3;5;0;1;3008,72;A
2021;65639;2022;DRP;10852;54484;70;0;0;1;3;3;5;0;4;77088,39;A
2021;65640;2022;DRP;11759;59280;70;0;0;59;3;3;5;0;6;1379065,93;A
2021;65640;2022;DRP;9875;59280;70;0;0;59;3;3;5;0;6;2692377,59;A
2021;65640;2022;DRP;9723;59280;70;0;0;59;3;3;5;0;6;2535087,87;A
2021;65640;2022;DRP;6772;59280;70;0;0;59;3;3;5;0;6;1109166,81;A
