t_ocompra;aa_ocompra;n_ocompra;aa_precepcion;t_precepcion;n_precepcion;o_ente;c_unid_ejec;fh_autorizacion;fh_alta;aa_ocompra_orig;t_ocompra_orig;n_ocompra_orig;e_formulario
OCC;2023;46515;2023;PRD;191983;120202;;2023-06-15 00:00:00;2023-06-15 13:14:45;2021;OCA;65641;A
OCC;2023;55622;2023;PRD;255300;32879;;2023-07-27 00:00:00;2023-07-27 15:28:43;2021;OCC;32595;A
OCC;2022;72443;2022;PRD;398484;26296;;2022-12-02 00:00:00;2022-12-02 15:09:59;2021;OCA;65640;A
OCC;2022;82069;2022;PRD;448007;32879;;2023-01-24 00:00:00;2023-01-24 13:12:50;2021;OCC;32595;A
OCC;2022;72254;2022;PRD;397487;311990;;2022-12-01 00:00:00;2022-12-01 15:55:53;2021;OCA;65644;A
OCC;2022;76269;2022;PRD;447998;32848;;2023-01-24 00:00:00;2023-01-24 12:52:22;2021;OCC;32593;A
OCC;2022;82989;2022;PRD;450113;311990;;2023-02-01 00:00:00;2023-02-01 15:24:35;2021;OCA;65644;A
OCC;2022;84501;2022;PRD;452309;32321;;2023-02-23 00:00:00;2023-02-23 18:35:39;2022;OCC;84367;A
OCC;2022;84339;2022;PRD;452130;311990;;2023-02-22 00:00:00;2023-02-17 16:41:27;2021;OCA;65644;A
OCC;2023;34536;2023;PRD;125061;94546;;2023-04-25 00:00:00;2023-04-25 11:31:53;2021;OCA;65642;A
OCC;2023;33118;2023;PRD;117377;32321;;2023-04-19 00:00:00;2023-04-19 12:36:03;2021;OCA;65639;A
OCC;2023;45693;2023;PRD;186792;83261;;2023-06-12 00:00:00;2023-06-12 14:41:53;2021;OCA;65643;A
OCC;2023;45718;2023;PRD;186865;32321;;2023-06-12 00:00:00;2023-06-12 15:03:23;2021;OCA;65639;A
OCC;2023;93038;2023;PRD;501087;275932;;2024-03-20 00:00:00;2024-03-20 11:09:41;2021;OCA;65645;A
OCC;2023;92918;2023;PRD;500899;32118;;2024-03-15 00:00:00;2024-03-08 15:52:54;2021;OCA;65638;A
OCC;2023;92973;2023;PRD;500987;120202;;2024-03-13 00:00:00;2024-03-13 16:28:42;2021;OCA;65641;A
OCC;2023;92893;2023;PRD;500832;94546;;2024-03-07 00:00:00;2024-03-07 10:53:34;2021;OCA;65642;A
OCC;2023;93046;2023;PRD;501104;26296;;2024-03-20 00:00:00;2024-03-20 12:12:00;2021;OCA;65640;A
OCC;2025;32179;2025;PRD;150437;32321;;2025-05-27 00:00:00;2025-05-27 16:41:28;2023;OCA;76141;A
OCC;2025;32181;2025;PRD;150429;32321;;2025-05-27 00:00:00;2025-05-27 16:38:11;2023;OCA;76134;A
OCC;2025;32217;2025;PRD;150546;311990;;2025-05-27 00:00:00;2025-05-27 20:39:56;2023;OCA;76139;A
OCC;2025;35621;2025;PRD;180832;32879;;2025-06-18 00:00:00;2025-06-18 17:04:09;2023;OCA;76139;A
OCC;2025;36142;2025;PRD;183212;120202;;2025-06-23 00:00:00;2025-06-23 16:52:00;2021;OCA;65641;A
OCC;2025;30794;2025;PRD;139544;311990;;2025-05-20 00:00:00;2025-05-20 16:26:09;2021;OCA;65644;A
OCC;2024;49216;2024;PRD;362802;311990;;2024-10-04 00:00:00;2024-10-04 15:12:03;2021;OCA;65644;A
OCC;2024;49219;2024;PRD;362933;311990;;2024-10-04 00:00:00;2024-10-04 15:35:12;2021;OCA;65644;A
OCC;2023;80605;2023;PRD;436987;311990;;2023-11-15 00:00:00;2023-11-15 14:17:47;2021;OCA;65644;A
OCC;2023;86168;2023;PRD;479097;32321;;2023-12-07 00:00:00;2023-12-07 17:30:35;2021;OCA;65639;A
OCC;2023;85602;2023;PRD;475472;120202;;2023-12-06 00:00:00;2023-12-06 14:44:04;2021;OCA;65641;A
OCC;2024;53040;2024;PRD;385767;275932;;2024-10-25 00:00:00;2024-10-25 12:51:37;2021;OCA;65645;A
OCC;2024;59629;2024;PRD;436564;32321;;2024-12-09 00:00:00;2024-12-09 11:14:37;2023;OCA;76141;A
OCC;2024;49211;2024;PRD;362706;311990;;2024-10-04 00:00:00;2024-10-04 14:53:39;2021;OCA;65644;A
OCC;2024;50530;2024;PRD;374856;120202;;2024-10-14 00:00:00;2024-10-14 16:35:21;2021;OCA;65641;A
OCC;2024;62110;2024;PRD;449668;275932;;2024-12-19 00:00:00;2024-12-19 11:11:33;2023;OCA;76141;A
OCC;2024;58201;2024;PRD;421815;311990;;2024-12-02 00:00:00;2024-12-02 16:37:15;2023;OCA;76140;A
OCC;2024;52816;2024;PRD;385007;26296;;2024-10-24 00:00:00;2024-10-24 15:41:15;2023;OCA;76141;A
OCC;2024;50525;2024;PRD;374841;120202;;2024-10-14 00:00:00;2024-10-14 16:30:08;2021;OCA;65641;A
OCC;2024;54458;2024;PRD;392834;120202;;2024-11-06 00:00:00;2024-11-06 12:02:26;2021;OCA;65641;A
OCC;2024;54928;2024;PRD;396717;32118;;2024-11-08 00:00:00;2024-11-08 12:58:04;2021;OCA;65638;A
OCC;2024;55103;2024;PRD;397389;32879;;2024-11-08 00:00:00;2024-11-08 16:37:10;2023;OCA;76141;A
OCC;2024;55115;2024;PRD;397416;32879;;2024-11-08 00:00:00;2024-11-08 16:43:56;2023;OCA;76141;A
OCC;2024;57581;2024;PRD;419700;26296;;2024-11-28 00:00:00;2024-11-28 15:06:08;2021;OCA;65640;A
OCC;2024;34315;2024;PRD;240293;275932;;2024-07-03 00:00:00;2024-07-03 14:19:54;2023;OCA;76134;A
OCC;2024;45249;2024;PRD;313009;32879;;2024-09-06 00:00:00;2024-09-06 14:58:41;2023;OCA;76141;A
OCC;2024;68505;2024;PRD;468150;32118;;;2025-02-03 11:26:59;2021;OCA;65638;I
OCC;2024;30776;2024;PRD;193538;311990;;2024-06-05 00:00:00;2024-06-05 10:36:15;2023;OCA;76141;A
OCC;2024;46818;2024;PRD;330314;32321;;2024-09-18 00:00:00;2024-09-18 16:17:37;2021;OCA;65639;A
OCC;2024;48901;2024;PRD;356927;311990;;2024-10-02 00:00:00;2024-10-02 13:04:00;2021;OCA;65644;A
OCC;2022;85535;2022;PRD;453490;83261;;;2023-03-01 16:17:36;2022;OCC;85501;X
OCC;2022;84313;2022;PRD;452081;120202;;;2023-02-16 16:39:28;2021;OCA;65641;X
OCC;2024;68651;2024;PRD;468394;124204;;2025-02-05 00:00:00;2025-02-05 10:55:38;2024;OCB;16992;A
