aa_oca_original;n_oca_original;aa_precepcion;t_precepcion;n_precepcion;c_numcred;c_juris;c_sjuris;c_entidad;c_inciso;c_pprincipal;c_pparcial;c_ubica_geo;i_total;e_formulario
2022;37628;2024;PRD;360837;8327;35;0;0;3;3;5;4;2025813,68;A
2019;52184;2020;PRD;183839;24497;55;0;0;3;3;5;1;670026;A
2021;65639;2024;PRD;396259;6338;31;0;0;3;3;5;1;15780,6;A
2021;65639;2024;PRD;396259;26155;75;0;0;3;3;5;1;859680;A
2021;65639;2024;PRD;396259;29458;45;0;210;3;3;5;1;182488,1;A
2021;65642;2024;PRD;385993;2319;21;0;0;3;3;5;1;4010781,2;A
2021;65642;2024;PRD;385993;17002;50;0;0;3;3;5;1;990865,07;A
2021;65642;2024;PRD;385993;30475;20;21;0;3;3;5;1;249767,83;A
2021;65642;2024;PRD;385993;30521;20;21;0;3;3;5;1;7047721,02;A
2021;65640;2024;PRD;396324;7405;35;0;0;3;3;5;1;581517,8;A
2021;65640;2024;PRD;396324;25312;60;0;0;3;3;5;1;33203,39;A
2018;32019;2018;PRD;229471;4876;21;0;0;3;3;1;1;1222093,27;A
2021;32565;2023;PRD;404159;34561;26;26;0;3;3;1;4;1173717,41;A
2021;65644;2024;PRD;393645;1973;9;0;0;3;3;5;1;2285386,95;A
2021;65644;2024;PRD;393645;16478;45;0;0;3;3;5;1;7469774,57;A
2021;65644;2024;PRD;393645;17002;50;0;0;3;3;5;1;1924105,12;A
2021;65644;2024;PRD;393645;30385;20;21;0;3;3;5;1;73850,7;A
2021;65644;2024;PRD;393645;37497;50;0;513;3;3;5;1;19323475,58;A
2021;65644;2024;PRD;393645;38305;60;0;602;3;3;5;1;4361713,88;A
2020;26261;2020;PRD;362457;16955;45;0;0;3;3;1;1;969234,82;A
2020;36823;2020;PRD;369775;66576;55;0;0;3;3;5;1;39245,5;A
2020;37067;2020;PRD;371170;65552;20;23;0;3;9;6;14;518747,94;A
2021;65642;2023;PRD;437261;34813;26;26;0;3;3;5;12;10886462,06;A
2022;4;2023;PRD;399456;31937;20;23;0;3;3;5;14;4039410;A
2021;65644;2023;PRD;420997;2241;9;0;0;3;3;5;1;2285386,95;A
2021;65640;2023;PRD;441510;31418;21;0;270;3;3;5;1;486374;A
2021;65640;2023;PRD;437521;7267;35;0;0;3;3;5;7;581517,8;A
2021;65640;2023;PRD;437521;34807;26;26;0;3;3;5;6;3747205,97;A
2021;65642;2023;PRD;446974;2775;21;0;0;3;3;5;13;2039864,3;A
2021;65642;2023;PRD;446974;13763;40;0;0;3;3;5;12;51956,74;A
2021;65642;2023;PRD;446974;28767;20;21;0;3;3;5;13;153398,83;A
2021;65642;2023;PRD;446974;34814;26;26;0;3;3;5;13;5488855,54;A
2020;37067;2020;PRD;362059;36340;20;23;0;3;3;9;14;67791,78;A
2020;37067;2020;PRD;362062;65552;20;23;0;3;9;6;14;34583,2;A
2020;37067;2020;PRD;362064;36340;20;23;0;3;3;9;14;6518,44;A
2020;46005;2022;PRD;51813;34055;26;26;0;3;3;1;4;2782215,79;A
